iter	Passed	Remaining
0	3	3977
1	7	3822
2	11	3799
3	14	3722
4	18	3657
5	21	3569
6	24	3503
7	28	3488
8	31	3504
9	35	3483
10	38	3462
11	41	3426
12	44	3402
13	48	3394
14	51	3379
15	54	3354
16	57	3335
17	60	3312
18	64	3322
19	68	3341
20	71	3342
21	75	3351
22	79	3357
23	82	3337
24	85	3315
25	87	3294
26	90	3274
27	93	3258
28	96	3236
29	99	3218
30	102	3201
31	105	3190
32	108	3179
33	111	3167
34	114	3154
35	117	3137
36	120	3125
37	123	3114
38	126	3115
39	129	3105
40	132	3092
41	135	3083
42	138	3076
43	141	3078
44	145	3087
45	148	3088
46	152	3083
47	155	3089
48	159	3087
49	162	3094
50	166	3091
51	170	3106
52	174	3119
53	178	3122
54	182	3128
55	186	3146
56	190	3151
57	194	3153
58	197	3155
59	202	3170
60	205	3170
61	208	3161
62	211	3150
63	214	3141
64	218	3136
65	221	3140
66	224	3132
67	228	3127
68	232	3133
69	235	3126
70	238	3119
71	241	3110
72	244	3103
73	247	3101
74	251	3096
75	254	3091
76	257	3082
77	260	3073
78	263	3069
79	266	3061
80	269	3052
81	271	3044
82	274	3035
83	278	3036
84	281	3028
85	293	3124
86	296	3116
87	299	3108
88	302	3100
89	306	3094
90	309	3091
91	312	3089
92	316	3089
93	319	3082
94	323	3078
95	326	3073
96	329	3065
97	332	3058
98	335	3051
99	338	3045
100	341	3039
101	344	3030
102	347	3023
103	350	3020
104	353	3017
105	357	3016
106	361	3014
107	364	3010
108	367	3005
109	371	3003
110	374	2995
111	376	2987
112	379	2980
113	382	2975
114	386	2973
115	389	2967
116	392	2960
117	395	2954
118	398	2951
119	401	2946
120	404	2941
121	407	2935
122	410	2928
123	414	2926
124	417	2921
125	420	2914
126	423	2908
127	425	2901
128	429	2899
129	433	2900
130	436	2894
131	439	2889
132	442	2884
133	447	2891
134	450	2887
135	453	2882
136	456	2876
137	459	2871
138	463	2872
139	467	2870
140	470	2864
141	473	2859
142	476	2857
143	480	2854
144	483	2848
145	486	2843
146	488	2837
147	491	2831
148	494	2826
149	498	2822
150	501	2819
151	504	2814
152	508	2814
153	511	2810
154	514	2803
155	517	2798
156	520	2792
157	524	2793
158	527	2791
159	530	2787
160	534	2782
161	537	2782
162	541	2780
163	544	2776
164	547	2771
165	550	2766
166	554	2764
167	557	2758
168	560	2755
169	563	2749
170	566	2745
171	569	2742
172	572	2737
173	575	2732
174	578	2726
175	581	2724
176	584	2718
177	587	2713
178	590	2709
179	593	2704
180	597	2701
181	600	2699
182	603	2695
183	606	2691
184	609	2686
185	613	2684
186	616	2681
187	619	2677
188	622	2672
189	625	2667
190	628	2663
191	631	2658
192	634	2653
193	637	2648
194	640	2643
195	644	2642
196	647	2638
197	650	2633
198	653	2629
199	656	2625
200	661	2628
201	665	2628
202	668	2624
203	671	2621
204	675	2620
205	678	2615
206	681	2610
207	684	2605
208	687	2601
209	690	2598
210	693	2593
211	696	2589
212	699	2585
213	702	2581
214	706	2578
215	709	2574
216	712	2569
217	714	2564
218	717	2559
219	721	2556
220	724	2552
221	727	2547
222	730	2543
223	732	2539
224	736	2537
225	752	2578
226	755	2573
227	758	2568
228	761	2564
229	764	2561
230	768	2557
231	771	2552
232	774	2548
233	776	2543
234	779	2538
235	782	2534
236	785	2530
237	788	2525
238	791	2520
239	794	2516
240	797	2512
241	800	2508
242	803	2503
243	806	2499
244	809	2494
245	813	2492
246	816	2488
247	819	2484
248	822	2479
249	824	2474
250	827	2470
251	830	2465
252	833	2462
253	836	2457
254	839	2452
255	842	2449
256	845	2444
257	848	2440
258	851	2435
259	854	2431
260	857	2427
261	860	2423
262	863	2420
263	866	2416
264	870	2413
265	873	2410
266	876	2406
267	879	2403
268	882	2398
269	885	2394
270	888	2390
271	891	2386
272	894	2382
273	897	2377
274	900	2373
275	903	2370
276	906	2366
277	909	2362
278	912	2357
279	915	2354
280	918	2351
281	921	2346
282	924	2342
283	927	2338
284	930	2333
285	933	2329
286	936	2325
287	938	2321
288	941	2317
289	944	2312
290	947	2308
291	950	2305
292	953	2301
293	956	2297
294	959	2293
295	962	2290
296	966	2287
297	969	2283
298	972	2279
299	975	2275
300	978	2272
301	981	2269
302	984	2265
303	987	2261
304	990	2258
305	994	2254
306	997	2251
307	1000	2247
308	1003	2244
309	1006	2241
310	1010	2238
311	1013	2234
312	1016	2230
313	1019	2226
314	1022	2222
315	1025	2220
316	1028	2216
317	1031	2212
318	1034	2209
319	1037	2205
320	1040	2201
321	1043	2198
322	1046	2194
323	1049	2190
324	1052	2186
325	1056	2183
326	1059	2179
327	1062	2175
328	1064	2171
329	1067	2168
330	1071	2166
331	1074	2162
332	1077	2159
333	1080	2155
334	1083	2151
335	1087	2148
336	1090	2144
337	1093	2141
338	1096	2137
339	1099	2134
340	1102	2130
341	1105	2126
342	1108	2123
343	1111	2119
344	1114	2115
345	1117	2112
346	1120	2109
347	1123	2105
348	1126	2101
349	1129	2098
350	1132	2094
351	1135	2091
352	1138	2087
353	1141	2083
354	1145	2080
355	1148	2077
356	1151	2073
357	1154	2069
358	1157	2066
359	1160	2062
360	1163	2059
361	1166	2055
362	1169	2051
363	1172	2048
364	1175	2044
365	1178	2042
366	1182	2039
367	1185	2036
368	1188	2032
369	1192	2029
370	1195	2026
371	1198	2022
372	1200	2018
373	1203	2015
374	1207	2012
375	1210	2009
376	1213	2005
377	1216	2001
378	1219	1997
379	1223	1995
380	1226	1992
381	1229	1989
382	1232	1985
383	1235	1982
384	1239	1979
385	1242	1975
386	1245	1972
387	1247	1968
388	1250	1964
389	1254	1961
390	1257	1958
391	1260	1954
392	1263	1951
393	1266	1947
394	1269	1945
395	1272	1941
396	1275	1937
397	1279	1934
398	1282	1931
399	1286	1929
400	1289	1925
401	1292	1922
402	1294	1918
403	1298	1914
404	1301	1912
405	1304	1908
406	1307	1905
407	1311	1902
408	1314	1899
409	1317	1895
410	1320	1892
411	1323	1888
412	1326	1885
413	1329	1882
414	1332	1878
415	1335	1875
416	1338	1871
417	1341	1868
418	1344	1864
419	1347	1860
420	1350	1857
421	1353	1853
422	1356	1850
423	1359	1847
424	1362	1843
425	1365	1840
426	1369	1837
427	1372	1833
428	1375	1830
429	1378	1827
430	1381	1824
431	1384	1820
432	1387	1817
